"Time","Amount"
369,1.98
370,4.79
373,10.29
373,1.79
375,29.18
376,12.89
376,4.45
376,11.39
377,40.83
378,85.25
379,881.13
380,0
380,9.99
382,45.38
383,17.99
383,16
384,510.22
386,1
386,575.33
387,10
388,12.99
388,9.99
389,8.93
389,29.95
391,27.7
392,82.29
393,64.04
394,1
394,1.55
399,15.19
402,0.01
403,0
403,411.88
403,52.4
403,15
404,0.99
405,27.13
406,1.98
406,0
406,46.68
407,146.25
408,7.3
409,0.77
409,72
410,56.09
410,39.77
410,0.89
411,235.7
411,10
413,40
413,57.5
413,30
414,29.99
414,1
415,24.02
417,8.61
417,29.99
417,0.89
421,10.69
421,12.41
421,1
422,60.92
423,43.34
423,3.75
425,3.59
426,16.19
426,4.95
427,11.36
427,12.98
427,539.17
427,246.96
427,10
430,0
430,2.31
430,30
432,102.13
432,22.03
433,34.27
433,5.31
434,25.03
436,15.8
438,2
438,8.49
439,3.67
439,0.77
441,9.27
441,50
442,2.23
442,77.98
443,46.77
444,399.07
446,17.99
446,64
448,11.99
449,10.2
450,75.65
452,49.98
453,92.91
454,9.65
455,1.98
457,121.48
457,2.72
458,13
459,2.99
459,6.99
460,50.78
460,13.49
460,79
460,2.85
462,13.99
463,55
463,37.57
463,1
464,11.99
464,1.48
465,7.69
466,20
471,48
472,0.92
472,17.57
472,529
472,59.88
476,1
477,9.51
478,1.79
478,10
478,79
479,1
480,0.75
480,732
481,1015.61
481,11.5
483,20.74
483,4.42
484,158
484,49.9
484,1
484,99.9
487,7.48
487,91.76
487,8.99
488,64.99
489,139.75
490,3.44
490,254.41
491,18.45
491,9.99
491,10
492,632.4
493,67.94
494,54.99
495,834.84
496,29
496,16.5
496,50.99
497,8.83
498,5
499,1.98
499,22.83
499,92.82
501,3
502,45.56
503,268.93
503,712.82
504,24.9
508,2.27
509,22.77
509,114
509,6.99
509,8.28
510,1.99
510,35.93
511,8.93
511,37.96
512,80
513,4.69
513,7
513,1
513,64
514,36.61
514,30.49
517,10
517,59.9
518,4.45
518,9.99
519,0.89
521,69.99
522,39.05
523,15.19
523,42.64
524,37.89
524,52.05
525,59.9
525,79.54
528,3.71
528,25.41
529,1.5
530,1.98
530,9.72
530,1
530,12
532,75.17
532,17.99
533,291.36
534,25
535,8.5
535,30.41
536,15
536,0.89
536,102
537,27.34
538,158
539,35.64
539,1.29
539,1
541,67.1
543,2.98
544,11.46
545,3.98
547,6.85
547,1.48
548,24.99
548,41.96
549,30
549,530.85
550,74.22
550,16.83
550,2.99
550,2.67
550,317.25
551,23.97
551,8.84
552,5.95
553,986.31
553,10.08
554,35.95
555,11.22
556,206.77
557,1
557,11.45
557,3.95
558,17.68
559,22.24
559,9.23
559,242.15
559,50.2
559,8.99
560,9.99
561,149.9
561,0.89
562,10.99
564,48
564,9.99
564,12.9
566,18.56
569,15.25
571,9.99
571,2.89
572,8.98
572,158
574,12
574,131.37
574,0.76
574,1.29
575,26.72
579,80
579,5.98
580,12.36
581,13.79
581,145.56
582,18
583,10.77
586,4.49
586,29.56
588,0.01
588,275.89
589,1
589,15
590,50
592,470.88
593,2.69
597,11.46
598,605.5
599,0.99
599,55.61
600,0.89
600,11.98
600,2.72
602,120.02
604,10.8
604,79.95
604,1.79
604,26.57
605,10
605,134.7
605,17.5
607,69.99
608,15
608,11.97
609,69.99
610,47.85
610,59.9
610,174.88
611,19.98
611,99
611,8.38
614,2.68
614,21.5
617,12.99
619,24.9
619,25.99
623,105.16
623,1.98
623,1
624,1.78
624,9.99
626,10.99
626,30.5
628,56
629,4
630,223.25
630,1.98
630,79
631,57.64
631,16.98
631,1
633,24.99
633,29.35
634,68.7
634,29.9
636,32.51
636,29.48
636,2.5
636,37.99
637,4.88
638,5.26
638,25.98
639,54.8
640,125.86
642,75.93
643,589.21
643,13.99
646,1.79
646,114.34
646,204
646,1.18
647,23.43
647,8.99
647,18.56
648,28.14
648,0.77
649,4.52
649,12
650,4.95
651,1
651,4.2
651,4.99
654,9.9
654,0.05
654,15.79
654,1
655,24.9
656,1602.99
656,8.99
656,7.04
656,158
657,1
658,1.78
659,8.9
659,117.28
660,15
661,99
663,19.54
664,60
665,73
666,0.05
666,13.99
666,64.63
666,47.76
666,3.58
667,24.9
668,3.1
668,1.98
670,57.7
670,17.68
671,42.56
672,7.95
672,0.89
672,94.86
672,0.05
674,22
674,0.92
674,24.9
676,39.05
677,32.14
677,16.31
677,0.89
678,15.8
679,0.05
679,25.39
680,24.9
680,89.95
681,9.99
683,287.57
684,9.99
685,1
685,217
685,8.91
687,53.54
688,64.99
691,0.05
692,60
692,10.99
692,1.98
693,24.9
693,0.85
694,64
694,18
694,17.24
696,22.61
696,18.56
699,23.43
699,15.38
701,171.32
702,143.9
704,24.38
704,1.29
705,4.99
705,6.55
705,1
707,25
708,9.87
710,25
711,0
711,12.15
711,0.77
713,13.98
713,33.99
714,24.95
714,0.89
715,69.97
716,8.99
717,5
718,9.99
718,9.48
718,467.74
719,8.96
719,51.45
720,5
721,1.46
721,5
722,767.7
722,87.47
723,131.95
723,179.84
725,0.76
726,9.44
726,8.99
728,4.49
729,13.94
729,1.98
730,500
730,5.45
731,9.95
734,0.89
734,0.89
734,94.65
735,10.38
735,15.15
736,25.3
737,1.98
737,25.85
738,220.28
739,9.99
741,294.95
741,29.99
741,8.12
742,25.95
742,11.98
742,16.5
742,11.5
743,153
744,138
744,0.1
745,1.29
746,47.9
747,16.18
748,82.39
749,354.85
750,15.37
750,5.91
751,14.05
751,3.9
752,1.78
753,30
755,82.37
755,8
756,2.69
756,2.5
756,7.28
758,0.99
758,2.49
758,1
758,291.38
759,15
760,82.39
761,792.2
762,29.99
763,15
763,29.95
764,1.98
765,16.45
766,9.99
766,62.85
769,1
769,0.89
769,0.76
770,39.09
770,112.38
770,1.98
772,1.78
773,41.4
774,8.94
774,78.44
775,1528.9
776,17.87
776,88.88
776,29
777,237.98
778,9.73
780,8
783,1
784,14.2
784,5.07
784,37.5
784,203.83
788,5.42
788,9.95
789,7.69
789,11.38
790,1.29
790,197.16
791,52.93
791,44.91
792,3.37
792,25.54
793,7.82
793,9.31
795,0.89
798,34.6
798,7.99
800,1.98
802,11.99
803,34.9
804,34.95
804,1
804,0
805,13
805,8.9
805,1
807,74.64
808,352.89
809,45.9
810,6
811,5.35
813,9.99
815,74.22
816,5.8
817,8.04
820,0
821,309
821,82.5
822,156.04
823,128.68
823,17.5
823,9
824,144
828,11.5
830,186.14
832,11.45
833,8
833,55
834,59
835,0.89
836,56.86
836,10
839,293.34
840,8.99
841,6.1
841,6.99
843,14.99
843,0.46
844,1
845,201.1
846,1.49
850,8.97
852,1
854,2.34
854,21.03
855,196.46
856,23.9
857,2.49
858,1.79
860,13.27
861,10
861,418.48
861,15
862,1
862,1.98
863,148.59
863,128
864,188
866,102.9
868,17.28
868,7.8
869,1
871,28.9
871,15.3
871,8.99
871,15.17
871,6.56
872,158
873,7.19
873,1
874,7.69
875,13.31
875,20.53
875,8.9
878,18.8
878,69.7
879,19.51
881,93.82
881,107.9
881,7.65
881,139.95
884,1.29
887,158
890,21.98
890,6.95
890,135.98
891,4.04
892,13.27
892,14.81
893,158
894,1
896,38
896,2.72
897,158
897,42.35
898,1
899,57
899,268.13
900,89.9
900,1
904,75.13
905,0.89
907,22.79
907,2.69
908,136.3
908,16.99
908,6.74
909,89.46
909,51.67
909,5.47
911,0.77
911,2
912,24.08
912,0
912,2.28
914,11.03
915,8.99
916,4.97
917,104
917,158
919,158
919,158
919,1
919,1
919,4.91
921,158
921,44.99
922,474.59
922,1
923,0.77
923,69.81
924,63.7
924,158
924,7.74
925,158
925,8.99
926,64.99
926,1
927,150
928,158
929,53.75
929,1
929,6.99
930,22.17
931,29.9
932,50
933,2.27
933,500
935,4.77
936,158
936,5.99
936,189
937,158
938,13.99
938,1
938,19.99
939,0.89
939,64.5
939,7.81
940,7.59
940,1.98
940,135
942,3.16
942,32.52
943,213.1
943,10.59
943,48.94
945,101.26
945,158
946,192.17
946,1
947,28.9
947,86.97
947,0.89
949,82.62
950,0.79
951,5
952,21.66
952,113.59
954,0.99
955,90.5
955,17.92
956,136.3
956,343
957,84.95
957,19.72
957,0.95
958,25.28
961,281.42
963,4.49
963,5.99
963,240.9
965,7.62
966,0.99
966,1.98
966,158
967,7.65
971,12.14
971,9.48
972,158
972,10.86
973,31
973,46.39
973,1
973,64.93
973,12.99
974,10.62
974,8.49
974,40.2
977,99.99
977,55.97
978,226.53
978,0.77
978,14
978,1.78
979,15.13
980,3.56
982,38.44
983,49
984,1.68
986,1.94
986,14.99
986,2.78
989,17.49
990,1736
990,11.84
991,53.39
993,1.98
994,11.43
994,12.86
997,10.81
999,1
999,1.79
1000,20.43
1000,26
1001,4.95
1001,12.94
1004,10
1005,11
1009,9.99
1015,1.45
1016,306.95
1018,32.97
1020,431
1021,195
1022,84.4
1022,158
1022,9.51
1023,1.98
1025,8
1026,10.82
1026,158
1027,1
1028,1
1029,49.5
1029,2.58
1029,0.92
1030,17.49
1030,1.78
1030,42.99
1034,2.58
1034,19.99
1034,233.15
1035,155.75
1036,76.13
1036,5
1036,9.95
1038,158
1038,158
1039,1
1040,149.98
1040,160
1040,25
1041,173
1041,0.76
1041,5.28
1041,274.72
1042,1
1043,158
1045,158
1045,158
1045,4.68
1046,1
1046,91.18
1046,2.69
1046,4.49
1047,4.99
1048,9.5
1049,5.47
1050,198.83
1051,0.12
1051,44.48
1051,36.26
1051,41.89
1052,8.99
1052,0.9
1053,21.48
1053,2.33
1054,1
1054,30.33
1055,10.62
1055,9.12
1055,196.33
1056,2.28
1057,32.14
1057,12.99
1058,6.25
1059,68
1059,48.43
1060,158
1061,21.87
1062,8.99
1064,16.9
1065,0.99
1065,500
1066,3.5
1066,20
1069,224.99
1069,50
1071,0.89
1072,12.48
1072,158
1072,10.95
1073,202.37
1074,158
1074,158
1074,1
1074,1
1074,8.97
1075,384.11
1077,158
1077,2452.03
1077,160
1078,4.86
1078,35.79
1079,0.77
1079,147.2
1079,0.76
1080,1
1081,71.73
1082,20.07
1082,59.9
1082,2.69
1083,160
1083,158
1083,7.49
1084,75.08
1084,229.9
1085,99
1089,23.97
1090,78.03
1091,158
1092,1
1093,158
1093,160
1094,21.29
1094,9.57
1095,37.85
1095,64.94
1095,0.99
1096,30.33
1096,1
1097,224
1097,55.94
1097,367.2
1098,1.29
1099,160
1102,1
1103,1376.13
1103,213.87
1104,106.77
1105,51.5
1105,36.29
1106,160
1108,160
1109,1
1111,1
1111,29.54
1112,50
1113,6.36
1114,53.02
1114,160
1114,135.19
1117,158
1117,0.99
1117,1
1120,44
1121,26
1121,2.28
1121,318
1122,3.32
1124,160
1124,167.09
1124,10.46
1125,19.49
1127,1
1128,198
1128,87.75
1129,24
1129,71.17
1131,160
1131,7.15
1132,0.38
1133,1
1135,144.14
1136,6.23
1138,10.99
1138,3.75
1139,66.6
1140,27.99
1140,13.99
1144,9.99
1146,50
1148,158
1150,82.25
1151,38
1152,8.99
1152,64.2
1153,90
1153,158
1153,4.73
1154,1
1155,0.85
1156,148.49
1158,113.02
1158,17.79
1158,32.5
1158,75.46
1159,239.02
1159,23.74
1161,60
1161,410.49
1161,49.99
1161,76.48
1161,13.99
1162,7.81
1162,9.75
1163,24
1164,1.98
1164,158
1165,1.53
1165,45.42
1166,19.22
1166,60
1167,158
1169,10.91
1170,65
1171,9.99
1171,189.25
1173,80.65
1173,23.92
1174,1.98
1175,142.42
1176,62.57
1177,60.2
1177,11.5
1178,158
1179,251.35
1180,22.71
1186,449
1187,10.97
1188,30.3
1188,100
1189,4
1190,4
1190,8.99
1191,67.23
1191,0.89
1191,1
1193,0
1194,44.22
1196,20.17
1200,6.77
1200,118.98
1201,4.99
1201,9.99
1201,37.98
1204,84.68
1204,65.3
1205,7.42
1206,12
1207,0.99
1208,160
1210,3.77
1211,160
1211,9.99
1212,68.02
1213,8.65
1213,36.03
1214,0.89
1215,10
1216,13.99
1216,9.99
1217,75.84
1217,154.99
1218,316
1218,160
1220,3.59
1220,158
1221,79
1221,1
1221,1
1223,47.31
1223,4
1223,4.49
1224,160
1225,1
1225,30.38
1227,23.88
1227,276.93
1227,1
1227,11.89
1228,279.93
1228,15.09
1229,3.19
1229,160
1230,1.99
1230,5.55
1231,0.78
1231,0.75
1231,79.9
1232,1
1232,221.79
1233,13.99
1233,2.69
1233,1.49
1234,26.21
1235,115
1236,186.96
1236,160
1237,93
1238,66.21
1238,35.69
1238,160
1239,1
1240,174.5
1240,1
1241,15
1242,160
1244,160
1245,1
1246,17.77
1246,6.54
1247,1
1247,15.13
1247,21.66
1248,34.13
1248,9.99
1249,20
1250,71.87
1251,39.8
1251,500
1252,160
1252,1
1252,43.54
1252,1.29
1252,1.79
1253,160
1253,6.28
1254,1
1256,1
1256,5.49
1256,49.9
1257,4.29
1257,2.28
1259,0.89
1259,9
1260,17.74
1260,1
1260,1.98
1261,34.15
1261,160
1261,102
1262,17.99
1263,0.99
1264,7712.43
1264,85.79
1265,21.52
1265,160
1266,73.66
1266,2
1266,160
1266,14.93
1266,158
1267,1127.78
1268,1
1268,1
1269,149.79
1271,142.13
1271,33.62
1271,11.95
1271,1.98
1272,1.46
1274,30.89
1280,38.99
1280,0.99
1280,8.91
1280,17.99
1282,474
1283,1.98
1283,9.99
1285,14.5
1286,17.99
1287,128
1287,5
1288,64.99
1290,5
1291,64.69
1292,132
1293,8
1294,5
1295,30
1295,15.98
1296,41.36
1297,49.57
1297,17.99
1297,838.2
1298,52.52
1298,5
1300,1.29
1301,5
1302,118
1302,58.9
1303,0.89
1303,11.03
1307,24.56
1308,25.3
1308,25.3
1308,43.8
1308,43.8
1309,3.99
1309,11.76
1309,5
1309,68.5
1310,17.99
1310,80.51
1310,20
1312,123.02
1313,11.37
1313,1.83
1313,0.99
1314,5
1315,1
1316,160
1316,20.22
1316,5
1316,4.99
1317,36.19
1317,1
1319,1
1320,5
1322,160
1322,329
1323,12.09
1323,5
1323,10.09
1323,30
1324,137.7
1326,1.44
1328,160
1328,5
1328,0.89
1332,13.99
1332,95
1333,1.79
1335,9.95
1335,4
1339,8.65
1339,1.78
1340,0.76
1340,5
1341,27.83
1341,38.09
1341,1
1343,4.26
1344,1.98
1345,13.99
1345,1.04
1346,9.78
1346,50.56
1347,5
1347,4.49
1349,50
1349,1
1350,5
1351,1.79
1351,91.64
1351,1
1351,138
1352,22.5
1352,479.08
1353,11.45
1353,6.54
1354,4.38
1354,5
1355,1
1355,200
1356,26.59
1356,63.65
1356,5
1356,179.16
1357,77.26
1358,5
1358,1
1358,37.73
1358,2.31
1359,1
1359,17.39
1362,14.9
1363,1.78
1364,5
1364,2.46
1366,5
1367,1
1367,3.67
1368,24.95
1372,6.4
1373,104.48
1377,1.85
1377,187.95
1378,12.33
1379,4.49
1379,48.76
1380,15.38
1382,102
1382,22.74
1382,11.84
1386,61.18
1387,126.85
1387,0.99
1387,1.98
1389,15
1390,74.22
1392,5.08
1395,23.95
1395,92.3
1396,15.9
1396,100
1396,2.69
1396,5
1398,11.72
1398,5
1399,34.32
1401,333.84
1402,3.23
1402,1.98
1402,37.1
1403,5
1403,16
1404,102
1404,15
1405,77.7
1406,5
1406,4
1407,23.84
1409,32.52
1409,1
1409,13.84
1409,96.39
1410,3.99
1410,152
1410,5
1411,1
1412,22.74
1414,27.83
1416,5.99
1416,1
1418,16.8
1418,18.42
1419,84.39
1420,54.59
1421,1.29
1421,5
1421,0.89
1422,1
1422,6.28
1422,1.79
1425,5
1427,6.54
1427,27
1427,5
1427,5.37
1428,6.45
1428,1
1429,5
1430,11.2
1430,1
1430,91.78
1431,85.11
1431,12.97
1431,1.98
1432,5
1432,3.6
1433,1
1433,121.49
1433,1.54
1433,25.6
1434,21.95
1434,13.99
1435,11.05
1436,15.98
1437,21.79
1438,23.07
1438,5
1439,1
1440,5
1440,7.49
1440,5.99
1441,82.74
1442,1
1442,8.99
1442,3.58
1443,33.45
1443,3.56
1443,22.1
1443,0.76
1443,0
1444,5
1444,0
1444,0
1446,4.99
1447,5
1447,39.5
1447,513.72
1448,112.5
1450,3.59
1453,9.99
1453,1.98
1455,7.69
1458,285.96
1459,62.64
1459,12.94
1459,9.08
1460,44.6
1461,8.98
1462,0.76
1464,1.98
1465,0.89
1465,0.89
1467,306.59
1467,18.29
1467,64.61
1467,5
1467,5
1468,85.06
1469,79
1470,1
1470,12.95
1470,265.42
1470,41.71
1470,22.74
1471,10.98
1471,1.29
1472,156.73
1472,140.55
1472,5
1472,46.08
1473,85.25
1474,151.67
1474,5
1474,68
1475,5
1475,84.24
1475,31.62
1477,5
1477,19.69
1480,5
1482,38.49
1485,1.29
1487,355.05
1487,1.29
1488,7.58
1489,5
1490,5
1491,18.33
1492,5
1492,2.68
1494,5
1494,126.71
1494,84
1495,0.99
1496,45
1497,5
1498,5
1498,96.82
1499,1
1499,1
1500,5
1500,5
1501,1
1501,1
1502,49
1502,5
1503,1
1504,5
1504,3.84
1505,1
1506,99.93
1506,12.99
1506,5
1507,19.55
1507,1.29
1508,5
1508,1.98
1508,6.46
1509,9.99
1509,5
1510,1
1510,19.99
1511,5
1511,5
1511,4.49
1512,1
1512,32.07
1512,1
1515,0.82
1516,5
1517,1
1518,5
1519,1
1519,1109.2
1521,14.99
1522,123.67
1524,5
1524,5.35
1525,1
1525,80.7
1525,3.59
1526,41.71
1526,9.47
1527,0.89
1527,132.8
1528,107.69
1528,69
1529,4.99
1530,5
1531,1
1534,5
1534,104.49
1535,1
1540,10.98
1542,13.08
1542,25
1544,9.35
1545,5
1545,5
1548,5
1548,5
1548,5
1548,5
1548,13.99
1549,24.9
1549,9.99
1551,5
1551,2
1551,2.4
1552,1
1555,6.99
1557,147.5
1557,3.99
1558,0.79
1559,83.48
1559,0.89
1562,7.17
1562,9.99
1568,15.94
1568,5
1571,88.4
1571,24.57
1572,32.79
1573,18.78
1573,19.99
1573,5
1573,30.08
1574,69
1574,9.99
1576,65
1577,50.95
1577,5.35
1578,0.77
1579,7.69
1579,22.3
1579,25
1579,83
1580,62.34
1580,1
1580,3.8
1581,5
1582,0.89
1582,1
1582,23
1583,5
1585,12.14
1586,2.31
1586,17.99
1587,24.61
1588,15.62
1588,59.9
1590,5
1591,75.55
1592,1
1592,24.26
1593,68
1593,5
1594,80
1594,1.29
1596,50.2
1596,12.31
1596,1
1596,31.24
1597,8.01
1599,18.16
1599,5
1599,100.07
1599,26.35
1600,22
1600,29.57
1600,110.14
1601,1
1601,125
1601,5
1602,1
1605,770.97
1606,2.69
1607,3.87
1607,12.17
1607,7
1607,10
1608,5
1609,13.66
1609,6.4
1609,37.64
1610,21.5
1610,1
1611,29.99
1612,137.94
1613,5
1614,20
1614,1
1614,13.99
1614,0.77
1615,106
1616,5
1616,112.18
1616,1.29
1617,1
1617,13.99
1617,8.99
1617,1
1618,68
1618,5
1619,1
1623,13.23
1624,57.19
1625,5
1626,1
1627,1.23
1628,79
1629,1
1630,8.93
1631,79
1631,8.8
1632,1.99
1632,308.67
1632,0.77
1633,13.8
1634,17.39
1634,12.61
1635,8
1636,193.89
1637,34.9
1639,11.5
1639,19.3
1639,215.58
1640,88
1641,15.7
1641,29
1642,10
1643,68
1643,13.5
1644,8.12
1644,38.44
1646,2.23
1646,0
1647,28.52
1647,12
1651,19.99
1652,18
1655,50.11
1655,9.99
1656,635.91
1657,2.31
1657,1
1658,15
1660,69
1662,0.89
1664,8.22
1665,0.99
1666,6.79
1668,247.89
1670,5.49
1673,357.59
1673,359.89
1673,86.61
1673,20
1674,668.04
1674,1.79
1675,8.92
1675,2.68
1676,421.5
1677,947.94
1678,1.22
1680,123.97
1681,44.52
1682,3.25
1684,3.45
1689,6.45
1690,22.74
1691,60.16
1692,37.92
1696,120.97
1698,3669
1699,58.64
1700,102.81
1701,0.89
1701,80
1701,79
1702,1
1703,192.17
1704,1
1704,0.77
1705,19.95
1708,1.23
1708,0.99
1711,59.95
1713,9
1716,94.48
1716,8.98
1717,13.99
1718,19
1718,5.49
1719,5.64
1719,16
1720,2
1720,16.94
1721,238.88
1722,22.75
1722,57.3
1724,13.74
1727,24.9
1728,53.81
1732,2.28
1736,18.25
1736,220
1738,274.9
1738,525.52
1738,288.28
1743,0.92
1744,189.8
1744,888.62
1746,1
1746,174.27
1749,3.03
1749,173
1749,25.99
1749,10.88
1750,4.5
1751,39
1752,5
1753,42.67
1754,23.11
1756,1.79
1756,81.98
1757,151.67
1757,70.85
1758,29.97
1758,8.49
1760,4
1763,2.34
1763,15.81
1766,44.99
1769,1.29
1769,0.99
1773,49.99
1774,119.9
1777,44.92
1780,59.18
1782,1.17
1782,768.84
1782,8.91
1784,5.85
1785,20
1786,11.5
1787,9.13
1787,13.99
1791,0.76
1792,53.05
1793,70
1793,34.48
1796,25
1797,50
1798,7.02
1799,2
1800,5.71
1801,30.79
1801,80.95
1803,44.4
1804,54.9
1805,2.34
1810,10.78
1812,980
1815,155.98
1815,95.35
1815,2.28
1816,2.27
1817,2.44
1818,0.76
1818,17.13
1819,1
1820,96
1823,20
1824,9.85
1825,214.16
1826,70
1826,30.83
1827,19.99
1827,9.99
1828,39.95
1828,95.35
1828,20
1831,6.99
1831,91.8
1832,0.89
1834,1.69
1835,153.76
1836,42.94
1837,17
1838,49.15
1839,0
1840,6.61
1840,24.9
1840,0
1841,9.99
1842,22.3
1843,339.09
1844,39.9
1845,44.43
1847,1.52
1848,39.95
1850,1055.12
1851,6.99
1851,212.6
1851,3.84
1853,29.5
1853,3.79
1855,1.98
1856,16.99
1857,0.99
1858,6.97
1860,240.58
1860,46.73
1861,6.99
1861,80.5
1862,12.99
1863,17.99
1864,156.2
1864,2.97
1866,79
1867,18.06
1868,500
1869,1.98
1869,42.13
1870,83.9
1872,2.27
1872,1.69
1872,10.12
1873,21.57
1873,6.49
1874,12.99
1877,6.99
1878,286.58
1880,38.2
1881,1
1881,9.99
1882,0.77
1883,79.95
1883,22.19
1888,0
1889,29.95
1890,15.99
1891,8.9
1892,21.5
1895,14.98
1895,1.46
1896,96.51
