ID,RCTRCK,RACE_DE,RACE_NO,PARTCPT_NO,RANK,RCHOSE_NM,HRSMN,RCORD,ARVL_DFFRNC,EACH_SCTN_PASAGE_RANK,A_WIN_SYTM_EXPECT_ALOT,WIN_STA_EXPECT_ALOT
48,부경,2014-01-03,4,1,8,금포미라클,박재호,0:01:30.6,5,2 -  - 6 - 2 - 3 - 8 - 8,40.4,7.2
49,부경,2014-01-03,5,1,10,셀럽,다나카,0:01:04.0,1½,9 -  -  -  - 12 - 12 - 12,53.4,9.6
50,부경,2014-01-03,5,8,3,미스히어로,송경윤,0:01:03.0,머리,7 -  -  -  - 7 - 8 - 7,37.6,10.9
51,부경,2014-01-03,5,4,9,마탄비,김어수,0:01:03.7,½,5 -  -  -  - 4 - 4 - 5,3,1.3
52,부경,2014-01-03,5,5,8,탐나라,채규준,0:01:03.6,머리,6 -  -  -  - 5 - 6 - 6,16.9,3.2
53,부경,2014-01-03,6,9,7,야단법석우승,송경윤,0:01:04.5,3,5 -  -  -  - 5 - 6 - 5,19.9,4.1
54,부경,2014-01-03,6,2,8,해뜰날,김현중,0:01:04.6,코,12 -  -  -  - 11 - 9 - 9,100.4,15.8
55,부경,2014-01-03,6,6,12,스토미레인,박금만,0:01:06.3,2,1 -  -  -  - 2 - 4 - 7,38.8,5.6
56,부경,2014-01-03,6,5,1,클라렌든,박성광,0:01:02.6,,2 -  -  -  - 1 - 1 - 1,30.8,5.4
57,부경,2014-01-03,6,10,9,엔젤인하트,임성실,0:01:05.4,5,7 -  -  -  - 12 - 12 - 12,4.9,1.6
58,부경,2014-01-03,6,3,11,금포스타,김정웅,0:01:06.0,2½,8 -  -  -  - 7 - 8 - 10,97.1,13.3
59,부경,2014-01-03,6,12,2,새나,채규준,0:01:02.9,1½,3 -  -  -  - 4 - 3 - 2,1.8,1.3
60,부경,2014-01-03,6,7,3,롱스트라이드,유현명,0:01:03.6,4,4 -  -  -  - 3 - 2 - 3,6.1,1.6
61,부경,2014-01-03,6,4,6,아리송,정동철,0:01:03.9,½,9 -  -  -  - 6 - 5 - 4,14.8,3.6
62,부경,2014-01-03,7,3,13,플라잉스파크,김어수,0:01:20.8,1,14 -  -  - 14 - 14 - 14 - 14,102.7,35
63,부경,2014-01-03,7,8,10,데메테르캠프,임성실,0:01:19.7,5,11 -  -  - 9 - 8 - 8 - 9,9.2,2.8
64,부경,2014-01-03,7,10,7,클린공주,채규준,0:01:17.9,½,3 -  -  - 3 - 3 - 4 - 6,24.3,5.6
65,부경,2014-01-03,8,7,2,와일드러시,채규준,0:01:37.7,¾,3 -  - 2 - 3 - 3 - 2 - 2,1.5,1.1
66,부경,2014-01-03,7,9,5,태권동자,오영일,0:01:17.6,목,1 -  -  - 2 - 2 - 1 - 1,9.5,2.8
67,부경,2014-01-03,7,11,3,스카페이스,다나카,0:01:17.2,1¼,4 -  -  - 4 - 4 - 2 - 2,13.4,4.4
68,부경,2014-01-03,5,10,6,강자의영광,유현명,0:01:03.3,¾,3 -  -  -  - 3 - 3 - 4,9.2,2.5
69,부경,2014-01-03,3,5,5,스피드질주,이성재,0:01:18.6,2½,5 -  -  - 5 - 3 - 3 - 4,52.6,5.1
70,부경,2014-01-03,3,7,3,대빵,홀랜드,0:01:18.1,¾,1 -  -  - 1 - 1 - 1 - 2,17,2.7
71,부경,2014-01-03,9,8,5,성산패총,최시대,0:01:16.5,6,8 -  -  - 8 - 9 - 8 - 7,19.2,3.9
72,부경,2014-01-03,4,6,2,호령제왕,정동철,0:01:24.8,2½,1 -  - 1 - 1 - 1 - 1 - 1,2.5,1.3
73,부경,2014-01-03,10,4,7,한양을가자,다나카,0:01:18.3,¾,2 -  -  - 2 - 2 - 2 - 5,10.2,2
74,부경,2014-01-03,8,3,3,무비소나타,김현중,0:01:37.9,1¼,12 -  - 12 - 12 - 10 - 6 - 4,7.4,1.7
75,부경,2014-01-03,4,8,7,뉴센트럴,김정웅,0:01:29.8,10,6 -  - 5 - 4 - 4 - 7 - 7,105.6,12.3
76,부경,2014-01-03,3,8,6,부경드림,구영준,0:01:20.0,8,6 -  -  - 6 - 6 - 6 - 6,86.6,10.8
77,부경,2014-01-03,1,5,11,하비스트타임,박재호,0:01:05.6,2½,4 -  -  -  - 5 - 4 - 9,15.5,1.9
78,부경,2014-01-03,1,9,7,머스트킹,김남성,0:01:04.3,½,12 -  -  -  - 12 - 12 - 8,143.9,19.9
79,부경,2014-01-03,12,11,3,천태봉,유현명,0:02:06.5,2½,7 - 6 - 9 - 6 - 6 - 6 - 6,8.5,2.4
80,부경,2014-01-03,11,2,4,정월보름,구영준,0:01:31.6,3,6 -  -  - 5 - 4 - 5 - 5,7.5,1.6
81,부경,2014-01-03,11,1,7,스프린터,김현중,0:01:35.3,20,5 -  -  - 8 - 8 - 7 - 7,41.4,5.4
82,부경,2014-01-03,10,7,8,라온돌체,후지이,0:01:18.7,2,6 -  -  - 7 - 8 - 8 - 8,15.2,2.4
83,부경,2014-01-03,9,7,2,남정북벌,다나카,0:01:15.3,2½,3 -  -  - 2 - 2 - 2 - 3,11,2.5
84,부경,2014-01-03,9,6,4,위스키리트리트,채규준,0:01:15.4,목,2 -  -  - 3 - 4 - 3 - 2,7.8,2.9
85,부경,2014-01-03,8,5,5,블랙페이스,최시대,0:01:38.6,4,6 -  - 8 - 9 - 9 - 9 - 6,6.5,1.6
86,부경,2014-01-03,8,10,10,캐터펄트,송경윤,0:01:41.4,8,9 -  - 7 - 5 - 5 - 8 - 10,53.7,15
87,부경,2014-01-03,1,6,12,만인지력,김태준,0:01:05.7,1,1 -  -  -  - 2 - 2 - 6,34.1,4.5
88,부경,2014-01-03,12,8,4,대호장군,채규준,0:02:06.6,½,2 - 2 - 2 - 2 - 3 - 3 - 3,4,1.7
89,부경,2014-01-03,11,5,6,강산무적,김정웅,0:01:31.9,¾,3 -  -  - 2 - 2 - 2 - 3,22.7,3.4
90,부경,2014-01-03,9,5,9,북악산,김현중,0:01:18.1,1¼,9 -  -  - 9 - 8 - 9 - 9,27.5,5.3
91,부경,2014-01-03,7,12,1,퍼펙트센스,김정웅,0:01:16.6,,7 -  -  - 6 - 6 - 6 - 3,27.4,5.1
92,부경,2014-01-03,6,8,4,빅메이저,후지이,0:01:03.7,½,10 -  -  -  - 9 - 10 - 8,52.2,8.4
93,부경,2014-01-03,6,11,5,원일공주,최시대,0:01:03.8,½,6 -  -  -  - 8 - 7 - 6,8.9,1.9
94,부경,2014-01-03,7,5,14,배다리에이스,설동복,0:01:20.8,코,10 -  -  - 10 - 11 - 13 - 13,150.1,29.5
95,부경,2014-01-03,8,8,9,해피니스,김명신,0:01:40.0,6,2 -  - 3 - 4 - 2 - 4 - 9,55.4,12.3
96,부경,2014-01-03,10,1,4,샌드레이디,유현명,0:01:17.8,2,4 -  -  - 4 - 4 - 4 - 4,15.7,3.5
97,부경,2014-01-03,10,9,5,중앙공주,최시대,0:01:18.0,1¼,9 -  -  - 8 - 6 - 6 - 6,1.6,1.1
98,부경,2014-01-03,12,2,9,어모멘트투라스트,김어수,0:02:07.8,1½,4 - 4 - 3 - 3 - 4 - 5 - 7,24.3,4.9
99,부경,2014-01-03,1,2,9,낭랑,이성재,0:01:05.1,1¼,8 -  -  -  - 10 - 10 - 12,30.2,5.7
100,부경,2014-01-03,2,7,8,결승진출,김태준,0:01:22.1,7,6 -  -  - 3 - 6 - 7 - 8,44.8,6.7
101,부경,2014-01-03,6,1,10,선더라이더,설동복,0:01:05.6,1,11 -  -  -  - 10 - 11 - 11,114.4,12.2
102,부경,2014-01-03,7,14,9,브레인빅터,송경윤,0:01:18.9,2½,13 -  -  - 13 - 13 - 12 - 11,32.8,7.5
103,부경,2014-01-03,9,9,1,뷰티풀남해,정동철,0:01:14.9,,4 -  -  - 5 - 3 - 4 - 1,19.8,3.8
104,부경,2014-01-03,11,4,1,퀸즈블레이드,후지이,0:01:29.9,,2 -  -  - 4 - 5 - 4 - 2,1.4,1
105,부경,2014-01-03,12,5,5,멀티챔프,오영일,0:02:06.8,1¼,11 - 11 - 11 - 9 - 8 - 7 - 5,30.8,4.5
106,부경,2014-01-03,1,12,3,세컨드투넌,유현명,0:01:03.1,1,6 -  -  -  - 7 - 7 - 5,7.6,2.2
107,부경,2014-01-03,1,3,6,담양미인,김영민,0:01:04.3,5,10 -  -  -  - 8 - 8 - 7,111.4,15.2
108,부경,2014-01-03,1,8,2,무한스피드,정동철,0:01:03.0,4,5 -  -  -  - 3 - 5 - 3,8.5,1.5
109,부경,2014-01-03,1,7,5,비케이킹,박금만,0:01:03.4,¾,9 -  -  -  - 6 - 6 - 4,51.1,5.6
110,부경,2014-01-03,1,1,10,천지교태,김현중,0:01:05.2,½,7 -  -  -  - 9 - 9 - 11,98,19
111,부경,2014-01-03,2,5,4,머제스틱파워,후지이,0:01:19.8,목,1 -  -  - 1 - 1 - 3 - 3,3.6,1.1
112,부경,2014-01-03,2,4,2,하프시코드선,이성재,0:01:19.1,1½,8 -  -  - 8 - 8 - 8 - 5,22.7,2.8
113,부경,2014-01-03,2,6,1,라스트스피드,유현명,0:01:18.8,,2 -  -  - 2 - 2 - 1 - 1,1.4,1.1
114,부경,2014-01-03,3,1,7,대호여걸,구민성,0:01:20.1,½,7 -  -  - 7 - 8 - 8 - 7,13,1.8
115,부경,2014-01-03,7,4,12,프리스타,김현중,0:01:20.6,1,9 -  -  - 11 - 12 - 11 - 12,5.9,2.4
116,부경,2014-01-03,8,9,,상승주도,설동복,0:01:54.3,실격,1 -  - 1 - 1 - 7 - 12 - 12,78.5,14.4
117,부경,2014-01-03,9,1,8,바다새,후지이,0:01:17.9,4,5 -  -  - 4 - 5 - 6 - 8,23.1,3.6
118,부경,2014-01-03,9,2,7,인디언명운,이성재,0:01:17.2,2,6 -  -  - 6 - 6 - 7 - 6,2.7,1.3
119,부경,2014-01-03,10,3,3,커플,김현중,0:01:17.5,1¼,7 -  -  - 5 - 5 - 5 - 3,29.2,3.8
120,부경,2014-01-03,10,6,6,가속행진,박재호,0:01:18.2,1,5 -  -  - 6 - 7 - 7 - 7,63.3,6.9
121,부경,2014-01-03,10,5,1,비카선,홀랜드,0:01:17.0,,3 -  -  - 3 - 3 - 3 - 2,6.1,1.9
122,부경,2014-01-03,11,3,,동방메리,김명신,0:01:37.9,실격,7 -  -  - 7 - 6 - 8 - 8,66.7,8
123,부경,2014-01-03,11,6,2,유성히어로,설동복,0:01:30.2,1¾,1 -  -  - 1 - 1 - 1 - 1,9.4,1.9
124,부경,2014-01-05,2,7,2,솟아라,이성재,0:01:17.4,½,2 -  -  - 2 - 2 - 2 - 1,42.2,6.8
125,부경,2014-01-05,5,4,2,한반도정복,정동철,0:01:57.4,1,4 -  - 4 - 4 - 3 - 3 - 2,36,4.7
126,부경,2014-01-05,5,2,8,샌드퀵,김현중,0:02:02.0,11,9 -  - 8 - 8 - 7 - 8 - 8,13.3,3.3
127,부경,2014-01-05,6,9,7,풀퀸,김영민,0:01:29.3,¾,11 -  -  - 10 - 11 - 10 - 9,49.5,6.6
128,부경,2014-01-05,6,10,8,블랙다이아,박금만,0:01:29.4,목,9 -  -  - 9 - 8 - 6 - 6,33.5,6.6
129,부경,2014-01-05,6,12,1,그랜드특급,홀랜드,0:01:27.7,,7 -  -  - 5 - 4 - 4 - 1,2.9,1.5
130,부경,2014-01-05,6,8,2,알파명장,다나카,0:01:28.1,2½,4 -  -  - 4 - 3 - 3 - 2,4.3,2.2
131,부경,2014-01-05,6,1,,롱스피드,정동철,0:01:35.4,실격,2 -  -  - 3 - 7 - 12 - 13,19.3,4.1
132,부경,2014-01-05,6,6,5,명서히어로,이성재,0:01:28.6,1¾,1 -  -  - 2 - 2 - 2 - 4,57.3,15.2
133,부경,2014-01-05,6,5,12,헬로스나이퍼,유현명,0:01:34.2,6,13 -  -  - 13 - 13 - 13 - 12,17.5,6.8
134,부경,2014-01-05,6,2,4,올수,송경윤,0:01:28.3,¾,3 -  -  - 1 - 1 - 1 - 3,5.8,2.5
135,부경,2014-01-05,5,1,7,선더스카이,설동복,0:02:00.1,5,5 -  - 5 - 6 - 8 - 7 - 7,17.1,2.9
136,부경,2014-01-05,4,3,10,원태양,채규준,0:01:25.5,½,10 -  - 10 - 10 - 10 - 10 - 9,58,10.1
137,부경,2014-01-05,3,11,4,조이너캡틴,정동철,0:01:31.5,1,8 -  -  - 6 - 5 - 3 - 2,12.3,2.3
138,부경,2014-01-05,3,2,6,남도트리오,최시대,0:01:31.9,2½,1 -  -  - 1 - 1 - 1 - 4,1.6,1.1
139,부경,2014-01-05,3,9,8,대승축제,홀랜드,0:01:32.0,코,6 -  -  - 7 - 9 - 9 - 7,14.6,3.2
140,부경,2014-01-05,3,12,1,레드호크,송경윤,0:01:30.6,,2 -  -  - 2 - 2 - 2 - 1,51.4,5.9
141,부경,2014-01-05,3,6,5,불패가도,설동복,0:01:31.5,목,11 -  -  - 10 - 8 - 6 - 6,6.7,1.8
142,부경,2014-01-05,3,5,11,라이징패밀리,오영일,0:01:33.7,¾,3 -  -  - 4 - 6 - 8 - 11,67,13.9
143,부경,2014-01-05,3,4,3,볼트레이,유현명,0:01:31.3,1½,4 -  -  - 5 - 4 - 5 - 5,7.2,2.2
144,부경,2014-01-05,2,6,10,원일지존,후지이,0:01:20.0,4,7 -  -  - 11 - 12 - 12 - 11,10.7,1.9
145,부경,2014-01-05,2,2,,축제멜로디,조창욱,,출전취소, -  -  -  -  -  - ,0,0
146,부경,2014-01-05,1,6,6,스카이선,조창욱,0:01:04.2,¾,12 -  -  -  - 11 - 10 - 8,83.5,9.1
147,부경,2014-01-05,1,4,8,에이스명운,유현명,0:01:04.9,2,3 -  -  -  - 2 - 2 - 4,2.4,1.3
148,부경,2014-01-05,5,6,4,영웅등극,박금만,0:01:58.1,목,6 -  - 6 - 5 - 5 - 5 - 4,6.1,1.7
149,부경,2014-01-05,4,6,5,삼일타이거,최시대,0:01:23.7,3,4 -  - 4 - 5 - 5 - 6 - 6,8.9,1.8
150,부경,2014-01-05,4,9,7,애니기븐액트,홀랜드,0:01:24.4,2½,8 -  - 8 - 7 - 8 - 8 - 7,32.6,5.4
151,부경,2014-01-05,5,8,5,와일드버닝,유현명,0:01:58.5,2,7 -  - 7 - 7 - 6 - 6 - 6,4.7,1.6
152,부경,2014-01-05,1,7,3,바람몰이,이성재,0:01:03.8,1¼,7 -  -  -  - 9 - 9 - 10,135.7,19.5
153,부경,2014-01-05,5,3,3,퍼스트터치,이성재,0:01:58.1,4,3 -  - 3 - 3 - 2 - 2 - 3,45.8,11.6
154,부경,2014-01-05,4,7,3,컬러미골드,김현중,0:01:22.8,2½,9 -  - 9 - 9 - 6 - 5 - 3,21.3,2.8
155,부경,2014-01-05,4,1,8,야무진놈,김영민,0:01:25.1,4,7 -  - 6 - 8 - 9 - 9 - 8,37.3,4.8
156,부경,2014-01-05,4,10,2,임팩트더맥스,정동철,0:01:22.3,1¾,5 -  - 5 - 3 - 3 - 2 - 2,10.8,2
157,부경,2014-01-05,3,3,10,레이스헌터,박금만,0:01:33.5,5,10 -  -  - 8 - 7 - 7 - 10,26.5,5.1
158,부경,2014-01-05,2,4,11,군주,최시대,0:01:20.0,목,4 -  -  - 5 - 6 - 7 - 10,67.8,8.7
159,부경,2014-01-05,2,11,7,로열플라잉,오영일,0:01:18.9,4,9 -  -  - 8 - 9 - 10 - 9,229.5,21.2
160,부경,2014-01-05,2,1,9,아이비라이언,채규준,0:01:19.3,¾,3 -  -  - 4 - 5 - 5 - 8,5.4,1.5
161,부경,2014-01-05,2,10,12,강자의힘,설동복,0:01:20.6,3,12 -  -  - 13 - 13 - 13 - 13,73.4,6.6
162,부경,2014-01-05,2,13,3,켄터키영웅,김명신,0:01:17.7,1¾,13 -  -  - 12 - 10 - 9 - 5,16.7,2.5
163,부경,2014-01-05,1,12,5,영광의축복,구영준,0:01:04.0,½,6 -  -  -  - 4 - 3 - 1,36.2,5.5
164,부경,2014-01-05,5,5,1,아이앰넘버원,임성실,0:01:57.3,,2 -  - 2 - 1 - 1 - 1 - 1,2.1,1.2
165,부경,2014-01-05,5,9,9,산야,후지이,0:02:04.4,14,8 -  - 9 - 9 - 9 - 9 - 9,5,1.5
166,부경,2014-01-05,4,8,6,터블러,이성재,0:01:24.0,2,1 -  - 1 - 1 - 1 - 3 - 5,28.5,3.8
167,부경,2014-01-05,4,4,9,라이언챔프,김정웅,0:01:25.4,1¾,6 -  - 7 - 6 - 7 - 7 - 10,75.2,18.8
168,부경,2014-01-05,1,10,11,글로벌킹,정동철,0:01:05.4,목,4 -  -  -  - 6 - 6 - 9,48.7,8.5
169,부경,2014-01-05,6,13,3,명운제왕,조창욱,0:01:28.2,목,5 -  -  - 7 - 5 - 5 - 5,9.3,2.5
170,부경,2014-01-05,6,7,10,퍼펙트질주,김정웅,0:01:30.6,5,10 -  -  - 11 - 12 - 11 - 11,12.1,2.8
171,부경,2014-01-05,6,11,9,바람의전사,설동복,0:01:29.6,1½,6 -  -  - 6 - 6 - 7 - 8,52.9,10.3
172,부경,2014-01-05,6,3,6,남도특급,최시대,0:01:29.2,3,12 -  -  - 12 - 10 - 9 - 7,33.8,4.2
173,부경,2014-01-05,6,4,11,켈란,채규준,0:01:33.2,15,8 -  -  - 8 - 9 - 8 - 10,11.3,2.7
174,부경,2014-01-05,1,11,2,앨커미,후지이,0:01:03.6,½,5 -  -  -  - 5 - 4 - 2,4.1,1.6
175,부경,2014-01-05,1,5,10,소리천,김태준,0:01:05.3,1¼,11 -  -  -  - 12 - 12 - 11,68.8,5.2
176,부경,2014-01-05,2,3,8,칼리블레이드,유현명,0:01:19.1,1¼,1 -  -  - 1 - 1 - 1 - 4,1.3,1.1
177,부경,2014-01-05,3,1,12,에스트리플,박성광,0:01:36.0,13,9 -  -  - 9 - 11 - 12 - 12,67.6,13.8
178,부경,2014-01-05,3,10,2,나노퀸,다나카,0:01:31.0,2,7 -  -  - 3 - 3 - 4 - 3,26.2,5.6
179,부경,2014-01-05,3,7,9,희망제일,구민성,0:01:32.6,4,12 -  -  - 12 - 12 - 11 - 9,25,4.8
180,부경,2014-01-05,3,8,7,더노블퀸,이성재,0:01:32.0,목,5 -  -  - 11 - 10 - 10 - 8,44.4,6.5
181,부경,2014-01-05,4,2,4,여시,송경윤,0:01:23.2,2,2 -  - 2 - 4 - 4 - 4 - 4,8,2
182,부경,2014-01-05,4,5,1,낫애니모어,후지이,0:01:22.0,,3 -  - 3 - 2 - 2 - 1 - 1,1.3,1
183,부경,2014-01-05,5,7,6,유성신화,박재호,0:01:59.2,4,1 -  - 1 - 2 - 4 - 4 - 5,50.1,7.8
184,부경,2014-01-05,1,9,4,코리아위너,김현중,0:01:04.0,1¼,9 -  -  -  - 8 - 7 - 6,121.9,19.3
185,부경,2014-01-05,1,2,1,금포지존,임성실,0:01:03.5,,8 -  -  -  - 7 - 8 - 5,4.4,1.6
186,부경,2014-01-05,1,8,7,금포샤이니,박금만,0:01:04.5,2,1 -  -  -  - 1 - 1 - 3,5.1,1.8
187,부경,2014-01-05,1,1,12,마운틴걸,구민성,0:01:06.5,6,10 -  -  -  - 10 - 11 - 12,175.2,28.7
188,부경,2014-01-05,1,3,9,파워볼트,채규준,0:01:05.1,1¼,2 -  -  -  - 3 - 5 - 7,12.7,2.4
189,부경,2014-01-05,2,12,6,바람꽃,다나카,0:01:18.2,코,10 -  -  - 9 - 8 - 8 - 6,66.5,8.5
190,부경,2014-01-05,2,9,1,비바엔코스타,김현중,0:01:17.3,,8 -  -  - 7 - 7 - 6 - 3,94.8,9.9
191,부경,2014-01-05,2,14,5,부경게이트,구영준,0:01:18.2,2½,6 -  -  - 3 - 3 - 3 - 7,49.3,4.4
192,부경,2014-01-05,2,8,4,백두산성,정동철,0:01:17.8,½,5 -  -  - 6 - 4 - 4 - 2,22.6,3.4
193,부경,2014-01-05,2,5,13,안나프로이드,구민성,0:01:20.7,½,11 -  -  - 10 - 11 - 11 - 12,152.9,36.2
194,부경,2014-01-10,4,4,3,세인트유니언,정동철,0:01:17.9,1½,6 -  -  - 6 - 6 - 5 - 4,5.4,2.4
195,부경,2014-01-10,4,7,6,영광의감동,송경윤,0:01:19.5,3,5 -  -  - 5 - 5 - 6 - 7,29.9,10.7
196,부경,2014-01-10,5,5,2,링스,송경윤,0:01:18.2,3,8 -  -  - 4 - 3 - 3 - 2,4.2,1.4
197,부경,2014-01-10,5,1,8,배틀퀸,채규준,0:01:21.0,¾,4 -  -  - 7 - 8 - 8 - 8,20.1,5.1
198,부경,2014-01-10,5,3,4,대성퀸,김동영,0:01:19.9,8,7 -  -  - 6 - 6 - 7 - 6,28.6,7.8
199,부경,2014-01-10,5,2,6,라이징포에버,문중원,0:01:20.3,½,1 -  -  - 1 - 1 - 1 - 3,4.4,1.7
200,부경,2014-01-10,6,5,9,햇살가득,박재호,0:01:19.0,1,10 -  -  - 10 - 10 - 10 - 10,143.9,22.3
201,부경,2014-01-10,6,3,6,필걸,문중원,0:01:18.6,3,8 -  -  - 8 - 8 - 8 - 7,31.7,4.2
