ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
121,부경,2014-01-03,한,암,,57,울즐리,임총재,444
122,부경,2014-01-03,한,암,,54,유병복,범한산업,459
123,부경,2014-01-03,한,암,,55,최기홍,오헌봉,469
124,부경,2014-01-05,미,암,,53,조용배,이정원,450
125,부경,2014-01-05,한,암,,52,김길중,김의기,493
126,부경,2014-01-05,한,암,,52,김영관,박선희,440
127,부경,2014-01-05,한,암,,51,윤주혁,박동원,453
128,부경,2014-01-05,한,암,,52,조용배,인택주택건설,472
129,부경,2014-01-05,한,암,,57,김재섭,박의주,471
130,부경,2014-01-05,한,수,,61,백광열,이성영,515
131,부경,2014-01-05,한,수,,51,최기홍,지성배,470
132,부경,2014-01-05,한,수,,51,김남중,한영희,489
133,부경,2014-01-05,한,수,,54,고홍석,우만식,529
134,부경,2014-01-05,한,수,,54.5,하무선,정완모,532
135,부경,2014-01-05,한,수,,52.5,한상복,미타31,494
136,부경,2014-01-05,미,수,,53.5,김상석,전종섭,497
137,부경,2014-01-05,한,수,,54,김상석,나종용,482
138,부경,2014-01-05,한,수,,55.5,백광열,정영광,455
139,부경,2014-01-05,한,수,,57,임동창,김화원,490
140,부경,2014-01-05,한,수,,54.5,김병학,미타31,447
141,부경,2014-01-05,한,수,,55.5,유병복,전성연,486
142,부경,2014-01-05,한,수,,54,방동석,신윤경,475
143,부경,2014-01-05,한,수,,55.5,김재섭,이태희,481
144,부경,2014-01-05,미,수,,54,오문식,김종업,486
145,부경,2014-01-05,미,수,,54,유병복,범한산업,0
146,부경,2014-01-05,한,수,,54,민장기,이성인,526
147,부경,2014-01-05,한,수,,54,김영관,김평갑,495
148,부경,2014-01-05,한,수,,52,민장기,김욱수,543
149,부경,2014-01-05,미,수,,54.5,백광열,박판득,467
150,부경,2014-01-05,미,수,,58,유병복,현길림,522
151,부경,2014-01-05,한,수,,53,김재섭,박의주,507
152,부경,2014-01-05,한,수,,54,임금만,최철이,467
153,부경,2014-01-05,한,수,,51,한상복,구영본,494
154,부경,2014-01-05,뉴,거,,52,강병은,김응수,427
155,부경,2014-01-05,호,거,,53.5,고홍석,이동좌,524
156,부경,2014-01-05,미,거,,56.5,임금만,임병효,454
157,부경,2014-01-05,한,거,,55,고홍석,김효태,490
158,부경,2014-01-05,뉴,거,,55,권승주,김경태,432
159,부경,2014-01-05,뉴,거,,55,김성현,이상현,468
160,부경,2014-01-05,미,거,,56,유충열,이혜선,431
161,부경,2014-01-05,뉴,거,,57,유병복,세금성,401
162,부경,2014-01-05,미,거,,56,임금만,임병효,543
163,부경,2014-01-05,한,거,,54,강형곤,변창덕,472
164,부경,2014-01-05,한,거,,58.5,김영관,송정아,515
165,부경,2014-01-05,한,거,,54.5,문제복,김정두,496
166,부경,2014-01-05,미,거,,55.5,울즐리,임총재,443
167,부경,2014-01-05,호,거,,51,김병학,이혜선,392
168,부경,2014-01-05,한,거,,55,김상석,박평양,480
169,부경,2014-01-05,한,거,,51,김남중,김평갑,508
170,부경,2014-01-05,한,거,,56.5,울즐리,김지원,485
171,부경,2014-01-05,한,거,,51,임금만,이광림,465
172,부경,2014-01-05,한,거,,51,백광열,박웅진,423
173,부경,2014-01-05,한,거,,51.5,민장기,김욱수,531
174,부경,2014-01-05,한,암,,53,백광열,이혜란,487
175,부경,2014-01-05,한,암,,53,임한,강애순,432
176,부경,2014-01-05,미,암,,53,김영관,김형란,458
177,부경,2014-01-05,한,암,,51,이상영,임석수,460
178,부경,2014-01-05,한,암,,55,강병은,서정범,427
179,부경,2014-01-05,한,암,,52,김창옥,김정두,438
180,부경,2014-01-05,한,암,,53.5,오문식,정완모,461
181,부경,2014-01-05,미,암,,54.5,김남중,김봉겸,501
182,부경,2014-01-05,호,암,,55,민장기,김기명,462
183,부경,2014-01-05,한,암,,51,최기홍,오헌봉,457
184,부경,2014-01-05,한,암,,51,김길중,박정배,424
185,부경,2014-01-05,한,암,,54,한상복,손병현,483
186,부경,2014-01-05,한,암,,53,이상영,손병현,484
187,부경,2014-01-05,한,암,,53,임동창,김화원,467
188,부경,2014-01-05,한,암,,53,하무선,이시환,426
189,부경,2014-01-05,미,암,,55,하무선,하만철,436
190,부경,2014-01-05,호,암,,52,강병은,홍경표,428
191,부경,2014-01-05,미,암,,54,강형곤,이성민,497
192,부경,2014-01-05,미,암,,54,김길중,김용부,457
193,부경,2014-01-05,미,암,,53,김병학,현동부,487
194,부경,2014-01-10,한,암,,54,김길중,곽희원,451
195,부경,2014-01-10,한,암,,54,김남중,변수정,422
196,부경,2014-01-10,한,암,,54,김병학,이시돌협회,475
197,부경,2014-01-10,한,암,,53,하무선,서삼석,440
198,부경,2014-01-10,한,암,,53,문제복,유효일,463
199,부경,2014-01-10,한,암,,53,방동석,신우철,464
200,부경,2014-01-10,한,암,,56.5,최기홍,안규생,437
201,부경,2014-01-10,한,암,,56,윤주혁,최상배,432
202,부경,2014-01-10,한,암,,52,임동창,김화원,467
203,부경,2014-01-10,한,암,,55,김재섭,최종하,455
204,부경,2014-01-10,한,암,,53.5,김상석,류주영,504
205,부경,2014-01-10,한,암,,55,양귀선,강복실,462
206,부경,2014-01-10,한,암,,53,백광열,강훈표,496
207,부경,2014-01-10,한,암,,52,강형곤,변수정,484
208,부경,2014-01-10,한,암,,55,최기홍,이경희,477
209,부경,2014-01-10,미,암,,53,유충열,이인태,486
210,부경,2014-01-10,한,암,,54.5,문제복,이동헌,441
211,부경,2014-01-10,한,암,,57.5,임한,김영근,497
212,부경,2014-01-10,한,암,,53,유충열,성태진,446
213,부경,2014-01-10,한,암,,55.5,유충열,이혜선,426
214,부경,2014-01-10,한,암,,57,김영관,고경민,447
215,부경,2014-01-10,한,암,,56,민장기,김진영a,478
216,부경,2014-01-10,한,암,,55,유병복,윤지중,466
217,부경,2014-01-10,한,암,,52.5,김재섭,부건영,446
218,부경,2014-01-10,한,암,,54,임금만,박광순,408
219,부경,2014-01-10,한,암,,53,임한,김정두,463
220,부경,2014-01-10,한,암,,53,김창옥,이경희,471
221,부경,2014-01-10,한,암,,53,양귀선,최원호,485
222,부경,2014-01-10,한,암,,53,하무선,이경희,476
223,부경,2014-01-10,한,암,,53,울즐리,김지원,454
224,부경,2014-01-10,한,암,,53,고홍석,이동좌,463
225,부경,2014-01-10,한,암,,50,김영관,이성기,453
226,부경,2014-01-10,한,암,,54,강병은,이경희,453
227,부경,2014-01-10,한,암,,53,임동창,홍태수,456
228,부경,2014-01-10,한,암,,53,양귀선,손병현,484
229,부경,2014-01-10,미,암,,53,양귀선,김성수,479
230,부경,2014-01-10,미,암,,53,한상복,장철웅,445
231,부경,2014-01-10,한,수,,52.5,최기홍,김병우,458
232,부경,2014-01-10,한,수,,54.5,임한,김영근,472
233,부경,2014-01-10,한,수,,57.5,김창옥,임용근,509
234,부경,2014-01-10,한,수,,59,김병학,변창덕,502
235,부경,2014-01-10,미,수,,53.5,김상석,박평양,480
236,부경,2014-01-10,미,수,,53,민장기,김성수,480
237,부경,2014-01-10,한,수,,54,김상석,이임보,482
238,부경,2014-01-10,한,수,,54,장세한,최영근,468
239,부경,2014-01-10,한,수,,54,유충열,유효일,434
240,부경,2014-01-10,한,수,,55,오문식,정완모,510
241,부경,2014-01-10,한,수,,55,김병학,인택주택건설,474
242,부경,2014-01-10,한,수,,54.5,오문식,류주영,487
243,부경,2014-01-10,한,수,,54,조용배,양관석,489
244,부경,2014-01-10,한,수,,52,이정표,안호석,410
245,부경,2014-01-10,미,암,,54,이정표,양창헌,474
246,부경,2014-01-10,한,암,,53,김병학,우리마트,415
247,부경,2014-01-10,한,암,,53,고홍석,김성수,457
248,부경,2014-01-10,한,암,,54.5,강형곤,김동훈,447
249,부경,2014-01-10,한,암,,53.5,김남중,태희종합건설,458
250,부경,2014-01-10,미,암,,54,김재섭,고경민,482
251,부경,2014-01-10,한,암,,58,조용배,송한우,434
252,부경,2014-01-10,한,수,,55.5,장세한,오명희,478
253,부경,2014-01-10,한,수,,55,오문식,김종업,481
254,부경,2014-01-10,한,수,,55,백광열,이종훈,482
255,부경,2014-01-10,한,수,,55,임한,강애순,538
256,부경,2014-01-10,한,수,,56,김남중,김봉겸,493
257,부경,2014-01-10,한,수,,54,장세한,류주영,496
258,부경,2014-01-10,한,수,,55,김재섭,최종하,505
259,부경,2014-01-10,한,수,,54,김창옥,고재완,526
260,부경,2014-01-10,미,수,,54,김남중,최계조,454
261,부경,2014-01-10,미,수,,54,울즐리,박호균,465
262,부경,2014-01-10,미,수,,54,문제복,김재윤,463
263,부경,2014-01-10,미,수,,51,김길중,조재섭,498
264,부경,2014-01-10,미,수,,54,강형곤,김동훈,470
265,부경,2014-01-10,미,수,,54,권승주,이원태,477
266,부경,2014-01-10,한,수,,54,임동창,이동좌,479
267,부경,2014-01-10,한,수,,54,민장기,양치복,491
268,부경,2014-01-10,한,거,,57,김영관,김평갑,471
269,부경,2014-01-10,한,거,,53,강병은,송승규,501
270,부경,2014-01-10,한,거,,56.5,유병복,이준걸,491
271,부경,2014-01-10,한,거,,55,임금만,민병욱,465
272,부경,2014-01-10,한,거,,55,김영관,박광순,517
273,부경,2014-01-10,한,거,,56.5,한상복,소명종합건설,450
274,부경,2014-01-10,미,거,,57,장세한,이동훈,491
275,부경,2014-01-10,미,거,,56.5,방동석,신우철,513
276,부경,2014-01-10,한,거,,53,김영관,류용상,418
277,부경,2014-01-10,한,거,,55.5,유충열,최순자,450
278,부경,2014-01-10,한,거,,50.5,울즐리,박은주,467
279,부경,2014-01-10,한,거,,56.5,민장기,이호영,444
280,부경,2014-01-10,한,거,,58.5,고홍석,이동좌,489
281,부경,2014-01-10,한,거,,56,조용배,장재원,480
282,부경,2014-01-10,미,거,,54,김영관,구영본,497
283,부경,2014-01-10,호,거,,55,강병은,서정범,431
284,부경,2014-01-10,한,거,,56,백광열,이호영,459
285,부경,2014-01-10,한,수,,54,김남중,김봉겸,472
286,부경,2014-01-10,한,수,,56.5,권승주,서종호,488
287,부경,2014-01-10,한,수,,54,울즐리,유수태,523
288,부경,2014-01-10,한,수,,54,최기홍,안규생,487
289,부경,2014-01-10,한,수,,54,백광열,이성영,477
290,부경,2014-01-10,한,수,,52.5,오문식,장길순,513
291,부경,2014-01-10,한,암,,52.5,김상석,손천수,509
292,부경,2014-01-10,한,암,,52,윤주혁,이계옥,470
293,부경,2014-01-10,한,거,,55,장세한,김화원,491
294,부경,2014-01-10,호,거,,54.5,김영관,남석우,495
295,부경,2014-01-12,호,수,,51,이상영,민우식,542
296,부경,2014-01-12,미,수,,51,김성현,조영자,520
297,부경,2014-01-12,한,수,,52.5,유충열,이완섭,479
298,부경,2014-01-12,미,암,,53,양귀선,고희종,460
299,부경,2014-01-12,뉴,거,,51,백광열,정영광,497
300,부경,2014-01-12,한,거,,53,김남중,김헌영,460
301,부경,2014-01-12,한,거,,54.5,임동창,서정범,446
302,부경,2014-01-12,호,거,,55,이상영,곽희원,505
303,부경,2014-01-12,한,거,,54,오문식,박은주,474
304,부경,2014-01-12,한,거,,53,최기홍,김영구,0
305,부경,2014-01-12,한,거,,52,김영관,이성인,517
306,부경,2014-01-12,한,거,,54.5,백광열,김종민,471
307,부경,2014-01-12,미,거,,58.5,강형곤,홍경표,476
308,부경,2014-01-12,캐,수,,51,방동석,김진영,479
309,부경,2014-01-12,미,수,,56.5,백광열,이종훈,537
310,부경,2014-01-12,한,수,,57,오문식,정광화,470
311,부경,2014-01-12,한,수,,56,권승주,손천수,520
312,부경,2014-01-12,한,수,,52.5,김성현,허도행,511
313,부경,2014-01-12,한,수,,51.5,이정표,이계옥,515
314,부경,2014-01-12,한,수,,52,장세한,김의기,443
315,부경,2014-01-12,한,수,,53,이상영,남석우,519
316,부경,2014-01-12,한,수,,57,윤주혁,서귀포시축협,427
317,부경,2014-01-12,한,수,,54.5,민장기,김진영a,487
318,부경,2014-01-12,미,수,,54,강병은,문경숙,531
319,부경,2014-01-12,미,수,,54,민장기,김진영a,479
320,부경,2014-01-12,미,수,,56,조용배,송한우,434
321,부경,2014-01-12,한,수,,54,강형곤,변창덕,514
322,부경,2014-01-12,한,암,,53.5,이정표,여성숙,418
323,부경,2014-01-12,뉴,수,,51,권승주,박웅진,532
324,부경,2014-01-12,한,수,,53,김상석,박평양,498
325,부경,2014-01-12,한,수,,52,조용배,양관석,507
326,부경,2014-01-12,한,수,,54,김재섭,박의주,0
327,부경,2014-01-12,미,수,,54,유병복,심상순,493
328,부경,2014-01-12,한,수,,54,고홍석,송윤지,454
329,부경,2014-01-12,한,암,,55,임금만,이성기,457
330,부경,2014-01-12,한,암,,54,임한,강애순,431
331,부경,2014-01-12,한,암,,54.5,김남중,이종식,479
332,부경,2014-01-12,한,암,,52.5,울즐리,임총재,491
333,부경,2014-01-12,한,암,,55,임금만,김갑수,465
334,부경,2014-01-12,미,암,,51,이상영,곽영숙,492
335,부경,2014-01-12,미,암,,51.5,권승주,김봉겸,450
336,부경,2014-01-12,한,암,,53,유병복,범한산업,473
337,부경,2014-01-12,한,암,,53,김성현,임총재,455
338,부경,2014-01-12,한,암,,53,최기홍,강희종,447
339,부경,2014-01-12,미,암,,54,임금만,김평갑,441
340,부경,2014-01-12,호,암,,55,김길중,곽종수,480
341,부경,2014-01-12,미,암,,53,김남중,변수정,471
342,부경,2014-01-12,미,암,,50,김길중,곽희원,474
343,부경,2014-01-12,한,암,,52,양귀선,이성님,481
344,부경,2014-01-12,한,암,,52.5,김병학,변창덕,461
345,부경,2014-01-12,한,암,,56,오문식,정광화,416
346,부경,2014-01-12,한,암,,52.5,강병은,이성님,420
347,부경,2014-01-12,한,암,,51,이상영,한영희,489
348,부경,2014-01-12,한,암,,55,강형곤,이성민,487
349,부경,2014-01-12,한,암,,54,장세한,김의기,456
350,부경,2014-01-12,뉴,거,,51,김병학,김종석,526
351,부경,2014-01-12,한,거,,53,김남중,허도행,456
352,부경,2014-01-12,한,거,,56,하무선,김준현,428
353,부경,2014-01-12,한,암,,54,울즐리,유수태,436
354,부경,2014-01-12,한,암,,51,한상복,오공학,498
355,부경,2014-01-12,미,암,,60.5,김영관,박광순,502
356,부경,2014-01-17,한,암,,54,고홍석,김효태,497
357,부경,2014-01-17,한,암,,55.5,권승주,임병효,478
358,부경,2014-01-17,한,암,,53.5,김길중,곽희원,495
359,부경,2014-01-17,한,암,,52,양귀선,김영옥,466
360,부경,2014-01-17,한,암,,51,김남중,장석노,452
361,부경,2014-01-17,한,암,,51.5,하무선,김성수,469
362,부경,2014-01-17,미,암,,53,한상복,김갑수,468
363,부경,2014-01-17,일,암,,52.5,임금만,최철이,502
364,부경,2014-01-17,미,암,,53,권승주,최상배,485
365,부경,2014-01-17,한,암,,53,임한,이종석,433
366,부경,2014-01-17,한,암,,55,김남중,오영복,461
367,부경,2014-01-17,한,거,,54,김재섭,박의주,477
368,부경,2014-01-17,뉴,거,,55,하무선,하만철,477
369,부경,2014-01-17,한,수,,55.5,민장기,최원호,492
370,부경,2014-01-17,미,수,,54,양귀선,최원호,541
371,부경,2014-01-17,미,수,,54,이상영,곽영숙,460
372,부경,2014-01-17,한,수,,53,김재섭,홍태수,455
373,부경,2014-01-17,미,수,,53.5,울즐리,민병욱,490
374,부경,2014-01-17,호,수,,53,방동석,이남일,512
375,부경,2014-01-17,한,거,,56.5,최기홍,김원식,479
376,부경,2014-01-17,한,거,,55,오문식,정광화,505
377,부경,2014-01-17,호,거,,57,강형곤,곽희원,491
378,부경,2014-01-17,한,거,,54,강병은,문경숙,477
379,부경,2014-01-17,한,암,,53,백광열,박웅진,448
380,부경,2014-01-17,한,암,,55,임동창,김호균,480
381,부경,2014-01-17,한,암,,53.5,조용배,송한우,456
382,부경,2014-01-17,미,암,,53,김병학,현동부,481
383,부경,2014-01-17,한,암,,53,최기홍,안규생,448
384,부경,2014-01-17,한,암,,52.5,김길중,송윤지,462
385,부경,2014-01-17,미,암,,53,고홍석,이동좌,514
386,부경,2014-01-17,한,암,,54.5,유병복,이준걸,443
387,부경,2014-01-17,한,암,,54.5,임동창,여성숙,499
388,부경,2014-01-17,한,암,,55.5,강형곤,범한산업,472
389,부경,2014-01-17,한,암,,52.5,양귀선,최원호,470
390,부경,2014-01-17,미,암,,52,오문식,장길순,497
391,부경,2014-01-17,미,암,,53,강형곤,홍경표,464
392,부경,2014-01-17,미,암,,53,강형곤,최원길,455
393,부경,2014-01-17,미,암,,53,임동창,한정협,482
394,부경,2014-01-17,한,암,,53,최기홍,김병우,429
395,부경,2014-01-17,미,수,,52,유충열,강용익,416
396,부경,2014-01-17,한,수,,54,백광열,이호영,475
397,부경,2014-01-17,미,수,,52.5,유충열,홍경표,484
398,부경,2014-01-17,미,수,,54,유병복,현길림,473
399,부경,2014-01-17,미,수,,55.5,장세한,김장만,460
400,부경,2014-01-17,미,수,,54,이상영,이갑섭,462
401,부경,2014-01-17,한,수,,51.5,강병은,이성님,425
402,부경,2014-01-17,한,수,,55.5,임한,홍성필,505
403,부경,2014-01-17,미,수,,56,권승주,이원태,511
404,부경,2014-01-17,미,수,,56.5,강형곤,박호익,475
405,부경,2014-01-17,미,수,,56,이상영,민우식,496
406,부경,2014-01-17,한,수,,55,유병복,정영식,475
407,부경,2014-01-17,한,수,,53,조용배,양관석,481
408,부경,2014-01-17,한,수,,56,임금만,김갑수,501
409,부경,2014-01-17,한,수,,54.5,울즐리,정형철,502
410,부경,2014-01-17,한,수,,55.5,백광열,김종민,495
411,부경,2014-01-17,한,수,,56.5,조용배,한영희,498
412,부경,2014-01-17,한,수,,54,하무선,이경희,512
413,부경,2014-01-17,한,수,,54,양귀선,이성님,485
414,부경,2014-01-17,한,수,,54,김병학,고승태,454
415,부경,2014-01-17,한,수,,54,이정표,이동헌,464
416,부경,2014-01-17,한,수,,54,울즐리,이경희,499
417,부경,2014-01-17,한,수,,54,김영관,임석수,471
418,부경,2014-01-17,한,수,,54,최기홍,안규생,465
419,부경,2014-01-17,한,수,,54,양귀선,양호규,482
420,부경,2014-01-17,한,수,,54,이상영,이갑섭,504
421,부경,2014-01-17,한,수,,54,임한,이종석,469
422,부경,2014-01-17,한,수,,56,김창옥,나종용,491
423,부경,2014-01-17,미,수,,52,조용배,양관석,468
424,부경,2014-01-17,캐,수,,54,김창옥,이승우,469
425,부경,2014-01-17,미,수,,54,임한,김영근,487
426,부경,2014-01-17,한,암,,53,유병복,오공학,480
427,부경,2014-01-17,한,거,,56,김성현,이성인,567
428,부경,2014-01-17,한,거,,54,오문식,정광화,489
429,부경,2014-01-17,한,거,,54,한상복,변공민,492
430,부경,2014-01-17,미,거,,56,김창옥,손병현,477
431,부경,2014-01-17,호,거,,57,유충열,이혜선,387
432,부경,2014-01-17,한,거,,56,김영관,최병부,495
433,부경,2014-01-17,한,거,,56.5,장세한,이동훈,506
434,부경,2014-01-17,한,거,,57,장세한,양국만,486
435,부경,2014-01-17,한,거,,56.5,김영관,유연욱,485
436,부경,2014-01-17,한,거,,51,김남중,한영희,448
437,부경,2014-01-17,한,거,,54,한상복,구영본,457
438,부경,2014-01-17,호,거,,54,김영관,이주미,461
439,부경,2014-01-17,미,거,,56,방동석,이임보,529
440,부경,2014-01-17,한,거,,54,한상복,손병철,468
441,부경,2014-01-17,한,수,,51,오문식,김중길,498
442,부경,2014-01-17,한,수,,53.5,민장기,김욱수,542
443,부경,2014-01-17,한,수,,55,임금만,이혜선,473
444,부경,2014-01-17,한,수,,55.5,이상영,민우식,437
445,부경,2014-01-17,미,수,,54.5,백광열,박판득,457
446,부경,2014-01-17,미,수,,54.5,양귀선,최영근,467
447,부경,2014-01-17,미,수,,55.5,최기홍,이성영,492
448,부경,2014-01-17,한,암,,53,장세한,김의기,478
449,부경,2014-01-17,한,암,,53,하무선,이시환,424
450,부경,2014-01-17,한,암,,56.5,하무선,송윤지,415
451,부경,2014-01-17,한,암,,53,임한,지성배,449
452,부경,2014-01-17,한,암,,53,유병복,윤지중,458
453,부경,2014-01-17,한,암,,54,방동석,이임보,434
454,부경,2014-01-17,한,암,,51,권승주,문상후,0
455,부경,2014-01-17,한,암,,53,고홍석,김형란,506
456,부경,2014-01-17,한,암,,53,김성현,양호규,438
457,부경,2014-01-17,미,암,,52.5,조용배,장재원,497
458,부경,2014-01-17,미,암,,51.5,김영관,대륭,502
459,부경,2014-01-19,한,거,,57.5,김창옥,고재완,462
